Esport,Rival,Dia,Sector,Preu
Basket,Partizan NIS Belgrado,2022-11-22,Zona 1 Inferior,69
Basket,Partizan NIS Belgrado,2022-11-22,Zona 1 Superior,58
Basket,Partizan NIS Belgrado,2022-11-22,Zona 2 Inferior,49
Basket,Partizan NIS Belgrado,2022-11-22,Zona 3 Superior,25
Basket,Partizan NIS Belgrado,2022-11-22,Zona 4,23
Basket,Partizan NIS Belgrado,2022-11-22,Zona 2 Central Visibilidad Reducida,15
Basket,Partizan NIS Belgrado,2022-11-22,Zona 4 Visibilidad Reducida,12
Basket,Partizan NIS Belgrado,2022-11-22,Zona 2 Superior,35
Basket,Partizan NIS Belgrado,2022-11-22,Zona 3 Inferior,30
Basket,Panathinaikos,2022-12-16,Zona 1 Inferior,46
Basket,Panathinaikos,2022-12-16,Zona 1 Superior,38
Basket,Panathinaikos,2022-12-16,Zona 2 Inferior,32
Basket,Panathinaikos,2022-12-16,Zona 2 Central,26
Basket,Panathinaikos,2022-12-16,Zona 2 Superior,23
Basket,Panathinaikos,2022-12-16,Zona 3 Inferior,20
Basket,Panathinaikos,2022-12-16,Zona 3 Superior,17
Basket,Panathinaikos,2022-12-16,Zona 4,15
Basket,Panathinaikos,2022-12-16,Zona 2 Central Visibilidad Reducida,10
Basket,Panathinaikos,2022-12-16,Zona 4 Visibilidad Reducida,8
Basket,Unicaja,2022-12-18,Zona 1 Superior,44
Basket,Unicaja,2022-12-18,Zona 2 Inferior,37
Basket,Unicaja,2022-12-18,Zona 2 Central,30
Basket,Unicaja,2022-12-18,Zona 3 Inferior,23
Basket,Unicaja,2022-12-18,Zona 3 Superior,19
Basket,Unicaja,2022-12-18,Zona 4,17
Basket,Unicaja,2022-12-18,Zona 2 Central Visibilidad Reducida,12
Basket,Unicaja,2022-12-18,Zona 4 Visibilidad Reducida,9
Basket,Unicaja,2022-12-18,Zona 1 Inferior,52
Basket,Unicaja,2022-12-18,Zona 2 Superior,26
Basket,Casademont Zaragoza,2022-12-28,Zona 1 Inferior,69
Basket,Casademont Zaragoza,2022-12-28,Zona 1 Superior,58
Basket,Casademont Zaragoza,2022-12-28,Zona 2 Inferior,49
Basket,Casademont Zaragoza,2022-12-28,Zona 2 Central,39
Basket,Casademont Zaragoza,2022-12-28,Zona 2 Superior,35
Basket,Casademont Zaragoza,2022-12-28,Zona 3 Inferior,30
Basket,Casademont Zaragoza,2022-12-28,Zona 3 Superior,25
Basket,Casademont Zaragoza,2022-12-28,Zona 4,23
Basket,Casademont Zaragoza,2022-12-28,Zona 2 Central Visibilidad Reducida,15
Basket,Casademont Zaragoza,2022-12-28,Zona 4 Visibilidad Reducida,12
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 1 Inferior,52
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 1 Superior,44
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 2 Inferior,37
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 2 Central,30
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 2 Superior,26
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 3 Inferior,23
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 3 Superior,19
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 4,17
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 2 Central Visibilidad Reducida,12
Basket,Virtus Segafredo Bologna,2023-01-05,Zona 4 Visibilidad Reducida,9
Basket,Coosur Real Betis,2023-01-07,Zona 1 Inferior,106
Basket,Coosur Real Betis,2023-01-07,Zona 1 Superior,88
Basket,Coosur Real Betis,2023-01-07,Zona 2 Inferior,74
Basket,Coosur Real Betis,2023-01-07,Zona 2 Central,60
Basket,Coosur Real Betis,2023-01-07,Zona 2 Superior,53
Basket,Coosur Real Betis,2023-01-07,Zona 3 Inferior,46
Basket,Coosur Real Betis,2023-01-07,Zona 3 Superior,39
Basket,Coosur Real Betis,2023-01-07,Zona 4,34
Basket,Coosur Real Betis,2023-01-07,Zona 2 Central Visibilidad Reducida,23
Basket,Coosur Real Betis,2023-01-07,Zona 4 Visibilidad Reducida,17
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 1 Inferior,52
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 1 Superior,44
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 2 Inferior,37
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 2 Central,30
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 2 Superior,26
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 3 Inferior,23
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 3 Superior,19
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 4,17
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 2 Central Visibilidad Reducida,12
Basket,Anadolu Efes Istanbul,2023-01-13,Zona 4 Visibilidad Reducida,9
Basket,Cazoo Baskonia,2022-11-25,Zona 1 Inferior,52
Basket,Cazoo Baskonia,2022-11-25,Zona 1 Superior,44
Basket,Cazoo Baskonia,2022-11-25,Zona 3 Superior,19
Basket,Cazoo Baskonia,2022-11-25,Zona 4,17
Basket,Cazoo Baskonia,2022-11-25,Zona 2 Central Visibilidad Reducida,12
Basket,Cazoo Baskonia,2022-11-25,Zona 4 Visibilidad Reducida,9
Basket,Cazoo Baskonia,2022-11-25,Zona 2 Inferior,37
Basket,Cazoo Baskonia,2022-11-25,Zona 2 Central,30
Basket,Cazoo Baskonia,2022-11-25,Zona 2 Superior,26
Basket,Cazoo Baskonia,2022-11-25,Zona 3 Inferior,23
Basket,Valencia Basket,2023-02-05,Zona 1 Inferior,52
Basket,Valencia Basket,2023-02-05,Zona 1 Superior,44
Basket,Valencia Basket,2023-02-05,Zona 2 Inferior,37
Basket,Valencia Basket,2023-02-05,Zona 2 Central,30
Basket,Valencia Basket,2023-02-05,Zona 2 Superior,26
Basket,Valencia Basket,2023-02-05,Zona 3 Inferior,23
Basket,Valencia Basket,2023-02-05,Zona 3 Superior,19
Basket,Valencia Basket,2023-02-05,Zona 4,17
Basket,Valencia Basket,2023-02-05,Zona 2 Central Visibilidad Reducida,12
Basket,Valencia Basket,2023-02-05,Zona 4 Visibilidad Reducida,9
Basket,Joventut Badalona,2023-03-25,Zona 1 Inferior,52
Basket,Joventut Badalona,2023-03-25,Zona 1 Superior,44
Basket,Joventut Badalona,2023-03-25,Zona 2 Inferior,37
Basket,Joventut Badalona,2023-03-25,Zona 2 Central,30
Basket,Joventut Badalona,2023-03-25,Zona 2 Superior,26
Basket,Joventut Badalona,2023-03-25,Zona 3 Inferior,23
Basket,Joventut Badalona,2023-03-25,Zona 3 Superior,19
Basket,Joventut Badalona,2023-03-25,Zona 4,17
Basket,Joventut Badalona,2023-03-25,Zona 2 Central Visibilidad Reducida,12
Basket,Joventut Badalona,2023-03-25,Zona 4 Visibilidad Reducida,9
Basket,Alba Berlin,2023-03-30,Zona 1 Inferior,69
Basket,Alba Berlin,2023-03-30,Zona 1 Superior,58
Basket,Alba Berlin,2023-03-30,Zona 2 Inferior,49
Basket,Alba Berlin,2023-03-30,Zona 2 Central,39
Basket,Alba Berlin,2023-03-30,Zona 2 Superior,35
Basket,Alba Berlin,2023-03-30,Zona 3 Inferior,30
Basket,Alba Berlin,2023-03-30,Zona 3 Superior,25
Basket,Alba Berlin,2023-03-30,Zona 4,23
Basket,Alba Berlin,2023-03-30,Zona 2 Central Visibilidad Reducida,15
Basket,Alba Berlin,2023-03-30,Zona 4 Visibilidad Reducida,12
Basket,Real Madrid,2023-04-16,Zona 1 Superior,106
Basket,Real Madrid,2023-04-16,Zona 2 Inferior,89
Basket,Real Madrid,2023-04-16,Zona 2 Central,72
Basket,Real Madrid,2023-04-16,Zona 2 Superior,64
Basket,Real Madrid,2023-04-16,Zona 3 Inferior,55
Basket,Real Madrid,2023-04-16,Zona 4,42
Basket,Real Madrid,2023-04-16,Zona 2 Central Visibilidad Reducida,28
Basket,Real Madrid,2023-04-16,Zona 4 Visibilidad Reducida,21
Basket,Real Madrid,2023-04-16,Zona 1 Inferior,128
Basket,Real Madrid,2023-04-16,Zona 3 Superior,47
Basket,Gran Canaria,2023-04-22,Zona 1 Inferior,52
Basket,Gran Canaria,2023-04-22,Zona 1 Superior,44
Basket,Gran Canaria,2023-04-22,Zona 2 Inferior,37
Basket,Gran Canaria,2023-04-22,Zona 2 Central,30
Basket,Gran Canaria,2023-04-22,Zona 2 Superior,26
Basket,Gran Canaria,2023-04-22,Zona 3 Inferior,23
Basket,Gran Canaria,2023-04-22,Zona 3 Superior,19
